slug,provider,title,kind,url,page_url,status,description
acadia-webcam,CAMNET,Acadia National Park,image,https://hazecam.net/images/main/acadia_left.jpg,https://hazecam.net/camsite.aspx?site=acadia,Active,Current Acadia National Park air quality camera image from CAMNET.
acadia-webcam,National Park Service,Jordan Pond Webcam,image,https://barharborcam.com/webcams/jordanpond/jordanpond.jpg,https://www.nps.gov/media/webcam/view.htm?id=A483238F-BAE9-C9E2-BE362FE8240C5E7F&r=%2Facad%2Flearn%2Fphotosmultimedia%2Fwebcams.htm,Active,"Hosted in partnership with Dawnland LLC, which operates Jordan Pond House."
acadia-webcam,Hazecam,Schoodic Peninsula Webcam,image,https://hazecam.net/images/large/acadia_right.jpg,https://hazecam.net/,Active,View from the Schoodic Peninsula area of Acadia National Park.
arches-webcam,National Park Service,Entrance Station Webcam,image,https://www.nps.gov/webcams-arch/arch_traffic.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B46BDB-1DD8-B71B-0B250E8F4CC1E74A&r=/arch/learn/photosmultimedia/webcams.htm,Active,View the entrance road as seen from the Arches Entrance Station. This view looks toward US 191.
arches-webcam,National Park Service,UDOT Traffic Camera,image,https://udottraffic.utah.gov/1_devices/aux16852.jpeg,https://www.nps.gov/media/webcam/view.htm?id=81B46BCF-1DD8-B71B-0B91099975A047A5&r=/arch/learn/photosmultimedia/webcams.htm,Active,This webcam is maintained by the Utah Department of Transportation. It is located across US 191 from the Arches National Park entrance road.
big-bend-webcam,National Park Service,Live View From Panther Junction,image,https://www.nps.gov/featurecontent/ard/webcams/images/bibelarge.jpg?1661979054980,https://www.nps.gov/media/webcam/view.htm?id=EE11A8B1-EE17-7C0C-8C0AF4FE6CF5CD48,Active,"Big Bend is famous for wide expansive panoramas. The view from Park Headquarters is always changing, and always spectacular. The view is to the Northwest, and updated every 15 minutes. On a clear day, distant peaks over 80 miles away are clearly visible."
bryce-canyon-webcam,NPS AirWebCams,Bryce Canyon National Park,image,https://www.nps.gov/featurecontent/ard/webcams/images/brda.jpg,https://www.nps.gov/subjects/air/webcams.htm?site=brda,Current image: 05/01/2026 11:00 AM MDT,Current image from the NPS Air Quality Web Camera Network.
bryce-canyon-webcam,Utah DOT,Highway 12 Near Bryce,image,https://udottraffic.utah.gov/1_devices/SR-12-MP-14.gif,https://www.allbryce.com/media/highway_12_near_bryce,Active,Live UDOT traffic/weather camera on State Route 12 near Bryce Canyon City. Verified public image endpoint updated May 1 2026.
crater-lake-webcam,National Park Service,Annie Spring Entrance Station,image,https://www.nps.gov/webcams-crla/camera0.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B4628D-1DD8-B71B-0B183DA83E05154F&r=/crla/learn/photosmultimedia/webcams.htm,Active,"Curious about road conditions? This webcam can help you determine if the park's roads are icy. It looks south along Munson Valley Road from the Annie Spring Entrance Station (elevation 6,000 feet). The silver bar is a flagpole."
crater-lake-webcam,National Park Service,Crater Lake,image,https://www.nps.gov/webcams-crla/camerasinnott.jpg,https://www.nps.gov/media/webcam/view.htm?id=BAB9400D-C123-A696-F87EB5B6A61F30D6&r=/crla/learn/photosmultimedia/webcams.htm,Active,"Is Crater Lake visible today? Sometimes the lake is hidden by clouds, especially in the winter. This view looks north across the lake from the Sinnott Overlook at Rim Village (elevation 7,100 feet). On a clear day, it takes in Wizard Island, Llao Rock, and Mount Thielsen."
crater-lake-webcam,National Park Service,Steel Information Center,image,https://www.nps.gov/webcams-crla/cameraHQ0.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B462AA-1DD8-B71B-0BAC82E1AFD3CC1D&r=/crla/learn/photosmultimedia/webcams.htm,Active,"The Steel Information Center at Park Headquarters (elevation 6,450 feet) is open daily except December 25th. This view is useful in showing the amount of snow currently on the ground in the park. It can be 10 to 15 feet deep in the late winter and early spring."
denali-webcam,National Park Service,Denali Puppycam,iframe,https://v.angelcam.com/iframe?v=z1nr86dgy0&autoplay=1,https://www.nps.gov/media/webcam/view.htm?id=25747478-0780-8919-6A9CEF1D47DE6F24,Active,Official NPS Denali Kennels live puppycam. This camera can go dark seasonally as puppies outgrow the nursery pen.
denali-webcam,Alaska 511,Parks Highway at Little Coal Creek,image,https://511.alaska.gov/map/Cctv/175,https://511.alaska.gov/region/Denali,Active,Live Alaska 511 highway camera near Denali National Park at Parks Highway milepost 163.2.
denali-webcam,Alaska 511,Parks Highway at Nenana Hills,image,https://511.alaska.gov/map/Cctv/208,https://511.alaska.gov/region/Denali,Active,Live Alaska 511 highway camera near Denali National Park at Parks Highway milepost 325.4.
everglades-webcam,National Park Service,Anhinga Trail Webcam,image,https://video-monitoring.com/everglades/royalpalm/sstn/s1.jpg,https://video-monitoring.com/everglades/royalpalm/,Active,Official NPS Royal Palm webcam image.
glacier-bay-webcam,National Park Service,Bartlett Cove Public Dock,page,https://www.nps.gov/media/webcam/view.htm?id=81B46712-1DD8-B71B-0B4B99EDA0AE3CFC,https://www.nps.gov/media/webcam/view.htm?id=81B46712-1DD8-B71B-0B4B99EDA0AE3CFC,Active live NPS webcam page,
glacier-bay-webcam,National Park Service,Lower Glacier Bay,page,https://www.nps.gov/media/webcam/view.htm?id=81B4672D-1DD8-B71B-0B04336F55ECDD47,https://www.nps.gov/media/webcam/view.htm?id=81B4672D-1DD8-B71B-0B04336F55ECDD47,Active live NPS webcam page,
glacier-webcam,National Park Service,Apgar Mountain,image,https://www.nps.gov/webcams-glac/ApgarLookout-01.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B4691B-1DD8-B71B-0BB9DBEE21A59335&r=/glac/learn/photosmultimedia/webcams.htm,Active,This view to the northeast from the summit of Apgar Mountain provides a spectacular view of Lake McDonald and the mountains in the distance. To the left of the lake are Stanton Mountain and Mt. Vaught (Stanton just in front of Vaught) and then just to the right the Garden Wall. The Continental Divide follows the crest of the Garden Wall. Continuing to the right are Mt. Cannon and Mt. Brown. The last mountain clearly visible to the right is Edwards Mountain. Apgar Lookout is at the summit and one of the more popular hikes on the west side.
glacier-webcam,National Park Service,Apgar Village,image,https://www.nps.gov/webcams-glac/ApgarVillage.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B4692D-1DD8-B71B-0B9AE4B7C186B022&r=/glac/learn/photosmultimedia/webcams.htm,Active,"The village of Apgar is the main hub of activity (on the west side of the park) throughout the summer. The park's largest campground is located here as are gift shops, a restaurant, lodging facilities, and boat and recreational equipment rentals."
glacier-webcam,National Park Service,Apgar Visitor Center Plaza,image,https://www.nps.gov/webcams-glac/ApgarVisitorCenter.jpg,https://www.nps.gov/media/webcam/view.htm?id=7290EA71-A74E-A7B4-74805070A3996FAC&r=/glac/learn/photosmultimedia/webcams.htm,Active,Throughout the summer this is the primary information stop for visitors entering the park at West Glacier. The visitor center is closed during winter but there are informational displays and publications available in the plaza.
glacier-webcam,National Park Service,Lake McDonald - 1,image,https://www.nps.gov/webcams-glac/LakeMcDonald1.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B4690A-1DD8-B71B-0B2D069E1CB02E6A&r=/glac/learn/photosmultimedia/webcams.htm,Active,"To many visitors to the park, this view is their first introduction to the spectacular scenery of Glacier National Park. This iconic view from Apgar, at the foot of Lake McDonald, really shows what Glacier is all about...big glacially carved lakes, vast wild views of the high peaks along the Continental Divide, and the ever-changing forests that blanket much of the lower elevations. It's no wonder that for many people when they think of Glacier, they think of this view."
glacier-webcam,National Park Service,Lake McDonald - 2,image,https://www.nps.gov/webcams-glac/lakemcdonaldptz.jpg,https://www.nps.gov/media/webcam/view.htm?id=D428B88A-BC1A-A5BF-88E3D63CF89D3452&r=/glac/learn/photosmultimedia/webcams.htm,Active,This camera is one of the newer models that allow us to zoom in and pan around the scene. Expect to see different views occasionally as we aim it at different parts of the Lake McDonald Valley. Thanks to the Glacier National Park Conservancy for their continued support of the park's webcam installations.
glacier-webcam,National Park Service,Logan Pass - 1,image,https://glacier.org/webcam/hlt_nps.jpg,https://www.nps.gov/media/webcam/view.htm?id=6E559311-9E10-3A12-2442A20797C7B6C6&r=/glac/learn/photosmultimedia/webcams.htm,Active,"This Logan Pass webcam shows the beginning of the Hidden Lake Trail, a popular hiking trail in Glacier. Hikers can hike 1.4 miles to the Hidden Lake Overlook for a view of Hidden Lake and Bearhat Mountain or continue another 1.2 miles (dropping 780 feet) to the north shore of Hidden Lake."
glacier-webcam,National Park Service,Logan Pass 2,image,https://glacier.org/webcam/smv_nps.jpg,https://www.nps.gov/media/webcam/view.htm?id=7A5DA146-CE8D-E071-2C00362A062A3D0E&r=/glac/learn/photosmultimedia/webcams.htm,Active,"This webcam shows two views each day. First, it aims down the St. Mary Valley to watch sunrise, before swinging east to show the meadows beneath Mount Reynolds. Also visible is the short, paved nature trail that takes visitors through the meadow around the visitor center."
glacier-webcam,National Park Service,Logan Pass Parking Lot,image,https://glacier.org/webcam/lpp_nps.jpg,https://www.nps.gov/media/webcam/view.htm?id=325AE6AF-BAEB-F65D-EF3D638BF683E78E&r=/glac/learn/photosmultimedia/webcams.htm,Active,"Located at the highest point along the Going-to-the-Sun Road, the Logan Pass area includes the Logan Pass Visitor Center, trailheads for the Highline and Hidden Lake trails, restrooms, potable water, and shuttle service. This view focuses on the Logan Pass parking lot with Mt. Pollock and Going-to-the-Sun Mountain in the background."
glacier-webcam,National Park Service,Many Glacier,image,https://glacier.org/webcam/mg_nps.jpg,https://www.nps.gov/media/webcam/view.htm?id=2ABFE780-E817-D105-9B14697AEB43EBA6&r=/glac/learn/photosmultimedia/webcams.htm,Active,"Many Glacier is often referred to as the Heart of the Park. This spectacular view highlights Swiftcurrent Lake and dominant Grinnell Point. To the right is the Swiftcurrent Valley and just up and over the wall is Granite Park. To the left is the valley that leads up to Grinnell Glacier, one of the most popular trails in the park. The Many Glacier Hotel sits at the edge of Swiftcurrent Lake and is an outstanding example of the type of architecture that was so common in western national parks in early 1900. A walk through its soaring lobby is a must see when you visit Many Glacier. This webcam is brought to you through a partnership with the Glacier National Park Conservancy. Check out all of the Conservancy's Glacier webcams at the link below."
glacier-webcam,National Park Service,Middle Fork of the Flathead River,image,https://www.nps.gov/webcams-glac/MiddleForkBridge.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B46955-1DD8-B71B-0B698C4D88410C05&r=/glac/learn/photosmultimedia/webcams.htm,Active,"The Middle Fork of the Flathead River forms the southwest border of Glacier National Park. This view, from near Park Headquarters, shows the river as it flows under the West Glacier bridge. At night some of the lights of West Glacier may be visible. During the summer, watch for rafters. Several commercial rafting businesses use this section of river. In the winter, the only activity along the river might be the occasional coyote or deer or a really cold kayaker."
glacier-webcam,National Park Service,Park Headquarters,image,https://www.nps.gov/webcams-glac/Headquarters.jpg,https://www.nps.gov/media/webcam/view.htm?id=81B46943-1DD8-B71B-0B46D68861599592&r=/glac/learn/photosmultimedia/webcams.htm,Active,"This was the first webcam view that Glacier National Park offered. Originally it was only going to be a test until a better location was found, but it turns out that this view has a large following. Watch for the occasional lunchtime crowd at the picnic table or our resident deer wandering about. Some years in the early summer beargrass blooms dot the forest."
glacier-webcam,National Park Service,St. Mary Visitor Center,image,https://www.nps.gov/webcams-glac/StMaryPTZ.jpg,https://www.nps.gov/media/webcam/view.htm?id=AE7C9B53-910E-6D3A-D6133266826C6977&r=/glac/learn/photosmultimedia/webcams.htm,Active,"The view from this webcam can be changed by park staff and occasionally we will move it and provide a different aspect of the view from the St. Mary Visitor Center. We hope to be able to provide close views of the elk in the fall and winter, tighter views of the mountains, and occasionally people at the Entrance Station and in the Visitor Center."
glacier-webcam,National Park Service,St. Mary Visitor Center - Dusty Star Observatory Sky Cam,image,https://glacier.org/webcam/dark_sky_nps.jpg,https://www.nps.gov/media/webcam/view.htm?id=FEBE3539-D0B5-B95A-B341B5A5C777FB9E&r=/glac/learn/photosmultimedia/webcams.htm,Active,"Imagine laying on your back in the St. Mary valley and looking straight up at the sky. That is your view from this webcam. On a clear night the image of the sky is spectacular, so visit after dark for the best experience. The tan shape at the top is the Dusty Star Observatory. The other buildings in the area include the St. Mary Visitor Center and the St. Mary entrance station. The center of the image looks straight up at the sky. If the circular image is a clock, the Dusty star Observatory is to the east at 12'clock, north is at 3 o'clock, west is at 6 o'clock. and south is at 9 o'clock."
glacier-webcam,National Park Service,West Entrance,image,https://www.nps.gov/webcams-glac/WestEntrance.jpg,https://www.nps.gov/media/webcam/view.htm?id=33478DF3-1DD8-B71B-0B8C97DB0A03B0F7&r=/glac/learn/photosmultimedia/webcams.htm,Active,"The West Entrance to the park is a good indicator of how busy things may be at locations inside the park. During July and August expect to see a long string of cars as they line up to purchase their entrance passes. We sell several different passes including a 7-day pass for $35.00, an annual pass for $70.00, and the America the Beautiful Pass for $80.00. The America the Beautiful Pass will allow entrance into any national park in the country and is good for some services on National Forests and at other Federal agencies."
grand-canyon-webcam,National Park Service,Bright Angel Trailhead View,image,https://cdn.pixelcaster.com/public.pixelcaster.com/snapshots/grandcanyon-1/latest.jpg,https://www.nps.gov/media/webcam/view.htm?id=69E0162D-0ED1-F68A-6B52A11F95FD867B&r=/grca/learn/photosmultimedia/webcams.htm,Active,Verify that the time and date of the picture is current (upper right in the photo).
